Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
175,19,97,,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Volvo XC60 3.2 R-Design,Volvo,2011 Volvo XC60,2011,240,236
193,169,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,20,Gasoline,26,Automatic transmission,2010 Volvo V50 R-Design AT,Volvo,2010 Volvo V50,2010,227,236
218,169,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo V50 R-Design,Volvo,2011 Volvo V50,2011,227,236
124,198,152,All-wheel drive,Bentley 6.0L 12 Cylinder 567 hp 516 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,8,E85,14,Automatic transmission,2012 Bentley Continental GT,Bentley,2012 Bentley Continental GT,2012,567,516
109,195,123,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GT,Bentley,2010 Bentley Continental GT,2010,552,479
99,195,123,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GT Speed,Bentley,2010 Bentley Continental GT,2010,600,553
208,93,188,Front-wheel drive,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,TRUE,5,5 Speed Manual,24,Gasoline,35,Manual transmission,2010 Ford Focus Coupe SE,Ford,2010 Ford Focus Coupe,2010,140,136
208,93,188,Front-wheel drive,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,34,Automatic transmission,2010 Ford Focus Coupe SE AT,Ford,2010 Ford Focus Coupe,2010,140,136
208,93,188,Front-wheel drive,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,TRUE,5,5 Speed Manual,24,Gasoline,35,Manual transmission,2010 Ford Focus Coupe SES,Ford,2010 Ford Focus Coupe,2010,140,136
208,93,188,Front-wheel drive,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,34,Automatic transmission,2010 Ford Focus Coupe SES AT,Ford,2010 Ford Focus Coupe,2010,140,136
109,195,135,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2011 Bentley Continental GTC Speed,Bentley,2011 Bentley Continental GTC,2011,600,553
109,195,125,,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GTC Speed,Bentley,2010 Bentley Continental GTC,2010,600,553
117,195,135,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GTC,Bentley,2010 Bentley Continental GTC,2010,552,479
210,34,107,Rear-wheel drive,Bentley 6.8L 8 cylinder 500hp 738 ft-lbs Turbo,TRUE,6,6 Speed Automatic,9,Gasoline,15,Automatic transmission,2010 Bentley Azure T,Bentley,2010 Bentley Azure T,2010,500,738
186,220,227,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,5,5 Speed Manual,28,Gasoline,35,Manual transmission,2011 Toyota Corolla,Toyota,2011 Toyota Corolla,2011,132,128
186,220,227,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic Select Shift,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla AT,Toyota,2011 Toyota Corolla,2011,132,128
186,220,227,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic Select Shift,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla LE,Toyota,2011 Toyota Corolla,2011,132,128
186,202,227,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,5,5 Speed Manual,28,Gasoline,35,Manual transmission,2011 Toyota Corolla S,Toyota,2011 Toyota Corolla,2011,132,128
186,,227,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic Select Shift,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla S AT,Toyota,2011 Toyota Corolla,2011,132,128
13,24,156,Rear-wheel drive,Rolls-Royce 6.6L 12 Cylinder 563 hp 575 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2010 Rolls-Royce Ghost,Rolls-Royce,2010 Rolls-Royce Ghost,2010,563,575
101,14,227,,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,8,8 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2011 Audi A5 Cabriolet 2.0 T Quattro,Audi,2011 Audi A5 Cabriolet,2011,211,258
103,17,228,All-wheel drive,,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2010 Audi A5 Cabriolet 2.0 T Quattro,Audi,2010 Audi A5 Cabriolet,2010,211,258
102,202,196,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Sedan,Rolls-Royce,2010 Rolls-Royce Phantom Sedan,2010,453,531
104,202,196,Rear-wheel drive,,,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Sedan EWB,Rolls-Royce,2010 Rolls-Royce Phantom Sedan,2010,453,531
92,17,189,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2012 Audi A5 Coupe 2.0 T,Audi,2012 Audi A5 Coupe,2012,211,258
92,17,189,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,8,8 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2012 Audi A5 Coupe 2.0 T AT,Audi,2012 Audi A5 Coupe,2012,211,258
61,234,194,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Coupe,Rolls-Royce,2010 Rolls-Royce Phantom Coupe,2010,453,531
92,17,189,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,8,8 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2011 Audi A5 Coupe 2.0 T AT,Audi,2011 Audi A5 Coupe,2011,211,258
92,17,189,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2011 Audi A5 Coupe 2.0 T,Audi,2011 Audi A5 Coupe,2011,211,258
92,17,62,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,22,Gasoline,30,Manual transmission,2010 Audi A5 Coupe 2.0 T,Audi,2010 Audi A5 Coupe,2010,211,258
92,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 Audi A5 Coupe 3.2,Audi,2010 Audi A5 Coupe,2010,265,243
92,17,62,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission,2010 Audi A5 Coupe 2.0 T AT,Audi,2010 Audi A5 Coupe,2010,211,258
43,232,194,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Drophead Coupe,Rolls-Royce,2010 Rolls-Royce Phantom Drophead Coupe,2010,453,531
13,24,156,Rear-wheel drive,Rolls-Royce 6.6L 12 Cylinder 563 hp 575 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2011 Rolls-Royce Ghost,Rolls-Royce,2011 Rolls-Royce Ghost,2011,563,575
195,71,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,TRUE,5,5 Speed Automatic,19,Gasoline,29,Automatic transmission,2010 Honda Accord EX-L V-6 Sedan,Honda,2010 Honda Accord Sedan,2010,271,254
102,207,196,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Sedan,Rolls-Royce,2011 Rolls-Royce Phantom Sedan,,453,531
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Honda Accord LX Sedan,Honda,2011 Honda Accord Sedan,2011,177,161
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,34,Automatic transmission,2011 Honda Accord LX Sedan AT,Honda,2011 Honda Accord Sedan,2011,177,161
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,34,Automatic transmission,2011 Honda Accord LX-P Sedan,Honda,2011 Honda Accord Sedan,2011,177,161
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,34,Automatic transmission,2011 Honda Accord SE Sedan,Honda,2011 Honda Accord Sedan,2011,177,161
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Honda Accord EX Sedan,Honda,2011 Honda Accord Sedan,2011,190,162
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,34,Automatic transmission,2011 Honda Accord EX Sedan AT,Honda,2011 Honda Accord Sedan,2011,190,162
195,86,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,TRUE,5,5 Speed Automatic,20,Gasoline,30,Automatic transmission,2011 Honda Accord EX V-6 Sedan,Honda,2011 Honda Accord Sedan,2011,271,254
195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,34,Automatic transmission,2011 Honda Accord EX-L Sedan,Honda,2011 Honda Accord Sedan,2011,190,162
195,86,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,TRUE,5,5 Speed Automatic,20,Gasoline,30,Automatic transmission,2011 Honda Accord EX-L V-6 Sedan,Honda,2011 Honda Accord Sedan,2011,271,254
102,202,196,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Sedan EWB,Rolls-Royce,2011 Rolls-Royce Phantom Sedan,2011,453,531
61,234,194,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Coupe,Rolls-Royce,2011 Rolls-Royce Phantom Coupe,2011,453,531
43,232,194,Rear-wheel drive,Rolls-Royce 6.7L 12 Cylinder 453 hp 531 ft-lbs,TRUE,6,6 Speed Automatic,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Drophead Coupe,Rolls-Royce,2011 Rolls-Royce Phantom Drophead Coupe,2011,453,531
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SEL PZEV,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SE PZEV AT,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 115 hp 125 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,29,Automatic transmission,2011 Volkswagen Jetta AT,Volkswagen,2011 Volkswagen Jetta,2011,115,125
172,19,242,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 115 hp 125 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,29,Automatic transmission,2011 Volkswagen Jetta S AT,Volkswagen,2011 Volkswagen Jetta,2011,115,125
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SE AT,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SEL PZEV AT,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 115 hp 125 ft-lbs,TRUE,5,5 Speed Manual,24,Gasoline,34,Manual transmission,2011 Volkswagen Jetta,Volkswagen,2011 Volkswagen Jetta,2011,115,125
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SEL AT,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SE,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SEL,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SE PZEV,Volkswagen,2011 Volkswagen Jetta,2011,170,177
172,19,242,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 115 hp 125 ft-lbs,TRUE,5,5 Speed Manual,24,Gasoline,34,Manual transmission,2011 Volkswagen Jetta S,Volkswagen,2011 Volkswagen Jetta,2011,115,125
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,5,5 Speed Manual,26,Gasoline,35,Manual transmission,2010 Toyota Corolla,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla AT,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,5,5 Speed Manual,26,Gasoline,35,Manual transmission,2010 Toyota Corolla S,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla S AT,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla LE,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,TRUE,4,4 Speed Automatic,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla XLE,Toyota,2010 Toyota Corolla,2010,132,128
186,187,224,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Toyota Corolla XRS,Toyota,2010 Toyota Corolla,2010,158,162
186,187,224,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,22,Gasoline,30,Automatic transmission,2010 Toyota Corolla XRS AT,Toyota,2010 Toyota Corolla,2010,158,162
19,63,113,Rear-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Toyota FJ Cruiser,Toyota,2011 Toyota FJ Cruiser,2011,260,271
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,6,6 Speed Manual,15,Gasoline,20,Manual transmission,2011 Toyota FJ Cruiser 4WD,Toyota,2011 Toyota FJ Cruiser,2011,260,271
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,21,Automatic transmission,2011 Toyota FJ Cruiser 4WD AT,Toyota,2011 Toyota FJ Cruiser,2011,260,271
188,61,82,All-wheel drive,Audi 3.0L 6 Cylinder 310 hp 325 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,19,Gasoline,28,Automatic transmission,2012 Audi A6 Sedan 3.0 T,Audi,2012 Audi A6 Sedan,2012,310,325
179,63,237,All-wheel drive,Audi 3.0L 6 Cylinder 300 hp 310 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2011 Audi A6 Sedan 3.0 T,Audi,2011 Audi A6 Sedan,2011,300,310
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SE AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta S AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SE PZEV AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta Limited Edition,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta S,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta Limited Edition AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta S PZEV AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta S PZEV,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta Limited Edition PZEV AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta Sedan SE PZEV,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta SE,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta Wolfsburg Edition,Volkswagen,2010 Volkswagen Jetta,2010,200,207
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta Wolfsburg Edition PZEV,Volkswagen,2010 Volkswagen Jetta,2010,200,207
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta TDI Clean Diesel,Volkswagen,2010 Volkswagen Jetta,2010,140,236
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SEL PZEV AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SEL AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta TDI Cup Edition,Volkswagen,2010 Volkswagen Jetta,2010,140,236
19,63,113,Rear-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2010 Toyota FJ Cruiser,Toyota,2010 Toyota FJ Cruiser,2010,260,271
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,6,6 Speed Manual,15,Gasoline,19,Manual transmission,2010 Toyota FJ Cruiser 4WD,Toyota,2010 Toyota FJ Cruiser,2010,260,271
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,21,Automatic transmission,2010 Toyota FJ Cruiser 4WD AT,Toyota,2010 Toyota FJ Cruiser,2010,260,271
194,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander,Toyota,2011 Toyota Highlander,2011,187,186
194,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander V6,Toyota,2011 Toyota Highlander,2011,270,248
194,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander V6 4WD,Toyota,2011 Toyota Highlander,2011,270,248
224,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander SE,Toyota,2011 Toyota Highlander,2011,187,186
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Highlander SE V6,Toyota,2011 Toyota Highlander,2011,270,248
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander SE V6 4WD,Toyota,2011 Toyota Highlander,2011,270,248
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Highlander Limited,Toyota,2011 Toyota Highlander,2011,270,248
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander Limited 4WD,Toyota,2011 Toyota Highlander,2011,270,248
194,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2010 Toyota Highlander,Toyota,2010 Toyota Highlander,2010,187,186
194,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander V6,Toyota,2010 Toyota Highlander,2010,270,248
194,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander V6 4WD,Toyota,2010 Toyota Highlander,2010,270,248
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander Sport,Toyota,2010 Toyota Highlander,2010,270,248
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander Sport 4WD,Toyota,2010 Toyota Highlander,2010,270,248
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander SE,Toyota,2010 Toyota Highlander,2010,270,248
